Gene	VarianceMedian_Islands	VarianceMedian_PocilloGG	VarianceMedian_SymbioGG	sd_Islands	sd_PocilloGG	sd_SymbioGG	Q1_Islands	Q1_PocilloGG	Q1_SymbioGG	Q3_Islands	Q3_PocilloGG	Q3_SymbioGG	Residuals
Pmea_00007422	0.0595	0	0.5074	0.0082519115630528	0	0.0131974233787654	0.057875	0	0.504	0.061325	0	0.511075	0.4331
Pmea_00029611	0.0355	0.0784	0.5074	0.0114192417356925	0.00767330483368849	0.0200673525252769	0.0313	0.074225	0.50185	0.04035	0.082525	0.516375	0.3787
Pmea_00013221	0.5073	0	0.05955	0.010053652987041	0.0201526253146012	0.0236408228291742	0.500725	0	0.0533	0.513025	0	0.06535	0.43315
Pmea_00017050	0.08425	0.5071	0	0.015590145942391	0.0114497529857348	0	0.0833	0.5058	0	0.086025	0.511225	0	0.40865
Pmea_00011213	0.50705	0.1716	0	0.0113443587636136	0.0101304459103948	0.00119732192746136	0.50425	0.169275	0	0.5103	0.1732	0	0.32135
Pmea_00035795	0	0.50695	0	0	0.0548610296084294	0.04698	0	0.505	0	0	0.5085	0	0.49305
Pmea_00013756	0.5069	0.00925	0	0.00978027137050952	0.012115681924054	0.00231225195229869	0.502075	0.0019	0	0.51265	0.014025	0	0.48385
Pmea_00022247	0.5069	0.134	0	0.0102561987169327	0.0301886048472973	0	0.50415	0.131875	0	0.511075	0.1376	0	0.3591
Pmea_00025237	0.1232	0.5066	0.05395	0.0169017176522376	0.0325864762647564	0.0283631325648083	0.118175	0.492875	0.03755	0.13465	0.5248	0.064275	0.31625
Pmea_00002780	0.0162	0.5065	0	0.00654651815853282	0.0114080524457973	0	0.0149	0.504275	0	0.0167	0.517275	0	0.4773
Pmea_00028124	0.2703	0.5065	0	0.00934320906089313	0.00828547201218171	0	0.265125	0.50175	0	0.276875	0.51225	0	0.2232
Pmea_00009742	0.5064	0	0.00355	0.00843787008167058	0.00190498972663525	0.00687879452676224	0.5033	0	0	0.51065	0	0.007375	0.49005
Pmea_00024278	0	0.5064	0	0	0.0198737016982725	0.00215050475634692	0	0.5063	0	0	0.50895	0	0.4936
Pmea_00007669	0.0365	0.1437	0.5063	0.00564889646861503	0.0448639280086311	0.0460097751910538	0.033575	0.12655	0.50075	0.039225	0.151525	0.517425	0.3135
Pmea_00003950	0.50625	0	0.12465	0.0266882944681027	0.0402390314561031	0.0542677024229203	0.502875	0	0.11005	0.52285	0	0.12885	0.3691
Pmea_00033882	0.00375	0.07325	0.50625	0.011279985672317	0.0163218656093505	0.0143613292482896	0	0.067875	0.4995	0.0092	0.07875	0.5124	0.41675
Pmea_00033935	0.04215	0.50625	0	0.00731362945175484	0.0103309836526985	0.00272890902091741	0.037875	0.5034	0	0.0467	0.513575	0	0.4516
Pmea_00017715	0.5062	0	0.0413	0.00965528776464906	0.00913449555755046	0.0141217898470714	0.50325	0	0.037925	0.509175	0	0.043875	0.4525
Pmea_00009654	0	0	0.5061	0.0933454231293207	0.0356677905656964	0.139227423079556	0	0	0.501225	0	0.00115	0.513775	0.4939
Pmea_00006104	0.50605	0.054	0	0.0314395520054442	0.0167180382530458	0.0346078366059691	0.503075	0.0511	0	0.5094	0.058	0	0.43995
Pmea_00034661	0.50605	0	0	0.01040918514359	0.00119183416919834	0	0.5027	0	0	0.5114	0	0	0.49395
Pmea_00001173	0.0139	0	0.506	0.00643524787024674	0	0.018379493925832	0.010675	0	0.50125	0.016925	0	0.513225	0.4801
Pmea_00018085	0.01455	0	0.506	0.0419273891822084	0.00283	0.0531931685729313	0.0114	0	0.50165	0.01775	0	0.51355	0.47945
Pmea_00019136	0.0667	0.506	0	0.00704079734637543	0.0223148437936579	0	0.065875	0.504175	0	0.069125	0.509225	0	0.4273
Pmea_00010894	0.0546	0	0.5059	0.0326835871298847	0.123912487871502	0.145463337794869	0.05295	0	0.5035	0.05715	0	0.510075	0.4395
Pmea_00011362	0.50585	0.13265	0	0.052275131851589	0.0329819169769549	0.0807208479197839	0.501475	0.1299	0	0.512225	0.13615	0	0.3615
Pmea_00004045	0.5058	0	0.0448	0.0132239150898299	0.00561774029843015	0.0120786628800417	0.5009	0	0.041975	0.510175	0	0.04785	0.4494
Pmea_00006704	0.5058	0	0.05775	0.0282904144632957	0	0.0247867254103009	0.500675	0	0.0514	0.513625	0	0.063475	0.43645
Pmea_00021154	0.16985	0.5058	0.00285	0.0188458236672471	0.0203833848954971	0.00309274746280502	0.167775	0.5042	0.001925	0.172375	0.510375	0.0047	0.3215
Pmea_00007116	0.05675	0.5057	0	0.00682780197413339	0.00728924931358199	0	0.054975	0.502075	0	0.0622	0.51225	0	0.43755
Pmea_00012889	0.50565	0	0	0.0138302772819987	0.00480720040746959	0	0.501075	0	0	0.509775	5e-04	0	0.49435
Pmea_00031025	0.50565	0.02845	0	0.0143994731595544	0.00810667414273977	0	0.49845	0.0271	0	0.51275	0.03165	0	0.4659
Pmea_00009645	0.5055	0.0048	0	0.0140489799406839	0.00504406201549521	0.00235589331959945	0.502075	0	0	0.51025	0.006225	0	0.4897
Pmea_00013236	0.5055	0	0	0.0110766535350418	0	0	0.5021	0	0	0.511075	0	0	0.4945
Pmea_00006901	0.50545	0	0	0.0100963249139316	0	0	0.500875	0	0	0.51335	0	0	0.49455
Pmea_00009615	0.46705	0.50545	0	0.0215381942866925	0.0864968270802432	0.000211535989248815	0.466	0.5043	0	0.4685	0.5067	0	0.0275000000000001
